ID,Breeding.values
A1257,2934.70833333333
A1258,3244.25
A1259,2908.66666666667
A1260,3098.75
A1261,3027.27083333333
A1262,3359.89583333333
A1263,3102.625
A1264,3182.625
A1265,3033.83333333333
A1267,3114.16666666667
A1268,3157.35416666667
A1269,3113.77083333333
A1270,3145.8125
A1272,3094.20833333333
A1273,3056.375
A1274,3389.54166666667
A1275,3149.58333333333
A1276,3209.0625
A1277,3162.75
A1279,2805.33333333333
A1302,2971.08333333333
A1304,3196.70833333333
A1307,3072.5625
A1309,3154.58333333333
A1310,3238.27083333333
A1311,2835.375
A1312,3031.02083333333
A1313,2806.39583333333
A1314,2809.875
A1316,3283.83333333334
A1317,3094.125
A1318,2927.58333333333
A1319,3000.10416666667
A1320,2629.25
A1321,2834
B1005,3129.27083333333
B1007,3138.39583333333
B1008,2840.35416666667
B1009,2958.79166666667
B1010,3061.66666666667
B1011,2793.375
B1012,3074.52083333333
B1019,3288.97916666667
B1053,3280.85416666667
B1055,3150.72916666667
B1057,2933.89583333333
B1058,3108.45833333333
B1060,2755.60416666667
B1061,2725.8125
B1062,3227.08333333333
B1075,2798.14583333333
B1102,2983.5
B1103,3104.52083333333
B1104,3367.83333333333
B1105,2950.04166666666
B1106,3000.47916666667
B1107,2949.625
B1110,3079.39583333333
B1111,3024.64583333333
B1151,3022.125
B1152,3094
B1153,3030.91666666667
B1155,2790.25
B1157,3004.58333333333
B1158,3103.10416666667
B1159,2693.0625
B1160,2990.08333333333
B1161,2774.52083333333
B1201,2792
B1202,2916.125
B1203,3040.72916666667
B1205,2990.52083333333
B1206,3126.60416666667
B1207,3176.14583333333
B1208,2963.0625
B1209,2788.20833333333
B1210,2939.1875
B1211,2902.5
B1216,2757.8125
B1217,2904.08333333333
B1218,3064.08333333333
B1219,2928.125
B1220,2868.875
M1345,2515.4375
M1347,2631.95833333333
M1351,2863.85416666667
M1353,3046.79166666667
M1354,2952.4375
M1356,3047.20833333333
M1357,3037.3125
M1358,2808.27083333333
M1359,2445.29166666667
M1360,3043.9375
M1361,3072.8125
M1362,2727.5625
M1363,2853.97916666667
M1364,2815.4375
M1365,2957.79166666667
M1366,2874.77083333333
M1367,2799.4375
M1368,3033.27083333333
M1463,2855.83333333333
M1464,2811.33333333333
M1465,2637.83333333333
M1467,3087.66666666667
M1469,3033.70833333333
M1471,2962.41666666667
